Authors;Title;Abstract;Author Keywords;Index Keywords;Source Title;Document Type;Publisher;DOI;ISSN;ISBN;Book Authors;Group Authors;Book Group Authors;Book Editors;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Start Page;End Page;Book DOI;Early Access Date;Publication Date;Publication Year;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Indexed Date;Cited by;Link;PubMed ID;SJR_Q;JCR_Q;SJR_found;JCR_found;Removal_reason
"Neff, J.; Arciaga, K.; Burri, M.";EFL Students’ and Teachers’ Perceptions of the Ethical Uses of Artificial Intelligence Tools;The use of artificial (AI) tools in language education has sparked substantial debate in recent years. Amidst these discussions are ethical considerations for English as a foreign language (EFL) learners to determine when and how to integrate AI into their language learning experiences responsibly. Addressing this query holds considerable implications, potentially impacting teaching approaches, development of materials, and assessment methods. Therefore, capturing the ethical perspectives of learners and teachers is imperative to establish robust pedagogical practices. This study aimed to initiate a dialogue on the ethical utilisation of AI tools in an EFL learning environment, heeding De Costa’s call for caution against having a “one-size-fits-all approach to ethics executed from a top-down stance”. The present study evaluated three hypothetical scenarios depicting fictional students using generative AI tools in their EFL coursework. These scenarios explicitly mention whether the students acknowledged their usage of tools. The scenarios were presented via an online survey to 543 first-year students and 16 teachers at a national university in Japan. The participants assessed each scenario using a Likert scale ranging from 1 (completely unethical) to 4 (completely ethical). An analysis of the ratings revealed that students and teachers have differing perspectives from each other on what constitutes ethical and appropriate utilization of AI tools in academic work. The paper culminates with a discussion that elucidates EFL learners’ viewpoints on the ethical integration of AI tools within an educational context. © 2025 Elsevier B.V., All rights reserved.;"AI; EFL; ethics; higher education";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v6n3.1714;26521687;;;;;;;;6;3;;;;;;;;;;;;4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216421911&doi=10.29140%2Ftltl.v6n3.1714&partnerID=40&md5=f94b57ccca3a8e068cbc6271d84d5a34;;Q4;;True;False;Journal not found in DBs
"Lege, R.; Bonner, E.; Aikawa, T.";Pecha, A Language Practice Peer: Guiding Language Learning Interactions Through Large Language Models;The interaction hypothesis of second language acquisition (Long, 1981) states that negotiated interaction is necessary for language development. In many language learning contexts, educators and stakeholders seek to provide opportunities for learners to engage in meaningful real-life interactions that help them build linguistic, semantic, and rhetorical competence. However, the opportunities provided for interaction can vary in their degree of effectiveness and may only sometimes lead to increased language ability. If these interactions are scaffolded correctly, they can be tuned to maximize their benefits (Loewen & Sato, 2018). Unfortunately, this is not always practical from a temporal and economic perspective. Artificial intelligence (AI) could be the solution for providing learners with individualized, comprehensive assistance during their learning interactions. Accordingly, the authors developed a bespoke application that employs advanced natural language processing and large language model AI technologies to support learner interactions. The application was developed to support students in two different contexts: Kanda University of International Studies in Japan, where students study English, and Massachusetts Institute of Technology in the United States, where learners study Japanese. The rationale for creating the application and selecting its major features is discussed. This is followed by a discussion of how the application functions and how it will be used. The authors will then discuss their plans for implementation into both informal and formal learning contexts at the two universities. They conclude by discussing potential limitations and plans for improving the application. © 2025 Elsevier B.V., All rights reserved.;"AI; artificial intelligence; CALL; interaction; language learning; large language models; LLM";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v6n3.1716;26521687;;;;;;;;6;3;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216430931&doi=10.29140%2Ftltl.v6n3.1716&partnerID=40&md5=08f514e9e476443def22325ad6ea0af4;;Q4;;True;False;Journal not found in DBs
"Hellmich, E.; Vinall, K.; Brandt, Z.M.; Chen, S.; Sparks, M.M.";ChatGPT in Language Education: Centering Learner Voices;"Within educational linguistics and applied language studies, the debut of ChatGPT has spurred significant scholarship analyzing its potential benefits and consequences in language teaching and learning. However, limited empirical research on factors influencing language learners’ use or non-use of ChatGPT exists. From an ecological theoretical perspective, an understanding of this (non)usage is nevertheless essential: a nuanced understanding of if, how, and why language learners use these tools is necessary to craft meaningful approaches to ChatGPT and other similar generative AI tools in the language classroom. To address this gap, the current article reports on an online survey of 173 learners of non-English languages at a large public university in the United States. Survey data were analyzed using descriptive statistics and iterative qualitative coding (e.g., thematic analysis). Analysis revealed a large majority of participants (74%) elected not to use ChatGPT in their language learning. The article subsequently explores the factors that influenced this non-use, namely policies; concerns about ethics both inside and outside the language classroom (e.g., concerns about cheating, intellectual theft, and questions of fairness); beliefs about tool limitations; considerations of the potential negative impacts on language learning; and reflections on education more broadly. We discuss the implications of these findings in relation to the role of digital literacies in language education; the production of knowledge in education; and the meaning of language study, including actionable items in the language classroom. © 2025 Elsevier B.V., All rights reserved.";"ChatGPT; ecological CALL; learner perceptions";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v6n3.1741;26521687;;;;;;;;6;3;;;;;;;;;;;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216415335&doi=10.29140%2Ftltl.v6n3.1741&partnerID=40&md5=9670cfbcd1d6033cc86a1e4c344f6e22;;Q4;;True;False;Journal not found in DBs
Mohamed, M.S.P.;Exploring Ethical Dimensions of AI-enhanced Language Education: A Literature Perspective;Advances in artificial intelligence (AI), particularly in generative AI, continue to affect language education paradigms. The integration of AI in language education raises deep-seated ethical concerns such as privacy and data security, potential biases and hidden ideologies in the output, transparency and accountability, dependency and autonomy, digital divide, and job displacement and professional development. The article analyzes these ethical concerns and introduces the multifaceted dimensions of ethics associated with AI in language education. This article comprehensively examines the potential biases of AI in language education. These biases can be algorithmic, demographic, cultural, linguistic, temporal, confirmation, ideological and political. The analysis includes factors contributing to biases, such as training data, labelling and annotation, product design decisions, policy decisions, and algorithms. This paper analyzes algorithmic transparency and advocates for more transparent AI systems to address bias in algorithms. Violations of student privacy emerge as one of the profound ethical issues in the discourse on AI-enhanced language education. The article also examines the challenges and risks associated with the protection of student data privacy, emphasizing the need for robust privacy frameworks to alleviate concerns regarding privacy, human agency and the lack of transparency in the collection of an excessive amount of personal information. By synthesizing the key findings, the paper will conclude with a potential framework of ethical guidelines for the responsible and ethical integration of AI in language education. © 2025 Elsevier B.V., All rights reserved.;"AI ethics; AI-enhanced language education; generative AI; language education; language learning; language teaching";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v6n3.1813;26521687;;;;;;;;6;3;;;;;;;;;;;;8;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216413436&doi=10.29140%2Ftltl.v6n3.1813&partnerID=40&md5=8acd5eb645999348019d83ee20374f92;;Q4;;True;False;Journal not found in DBs
"Hirschel, R.; Horai, K.";Exploring AI to Automate EFL Corrective Written Feedback in the First Language;With the advent of generative AI that uses large language models such as ChatGPT, it is now relatively easy to provide automated written corrective feedback in a student’s native language. This paper reports on an exploratory study using a ChatGPT-powered plugin recently developed for the Moodle learning management system. The classroom intervention on which this study is based had four main steps: a) brainstorming and vocabulary search (5 minutes), b) subsequent free-writing activity in an online textbox (10 minutes), c) reading the ChatGPT feedback in L1 Japanese (5 minutes), and d) completing paper error logs to process feedback (5 minutes). Data were collected from students’ written submissions as well as the ChatGPT-generated feedback, students’ error logs, and surveys administered to students after each activity and at the end of the semester. Analysis of survey data and ChatGPT-generated feedback suggested that both students and the teacher appreciated the grammatical feedback, found it to be relatively accurate, and largely comprehensible. There is room, however, for improvements in accuracy and presentation. Pedagogical implications are discussed. © 2025 Elsevier B.V., All rights reserved.;"AI; automated writing feedback; corrective feedback; L2 writing";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v7n1.2208;26521687;;;;;;;;7;1;;;;;;;;;;;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001988580&doi=10.29140%2Ftltl.v7n1.2208&partnerID=40&md5=262c0e744cc0d8175c24e44843cfb88b;;Q4;;True;False;Journal not found in DBs
"Karakaya, K.; Alpat, M.F.; Ucar, H.; Karakaya, O.; Bozkurt, A.";Preparing Teachers for the Algorithmic Educational Landscape: A Critical Mapping of Generative AI Integration in Language Teacher Education;The increasing integration of generative Artificial Intelligence (AI) tools, such as ChatGPT, in education has prompted growing interest in their pedagogical potential and the emergent competencies required for their effective use in language instruction. While generative AI is beginning to influence language teaching and learning practices, emerging research suggests a burgeoning need to address AI-related literacies and ethical considerations within language teacher education programs. Despite the growing number of studies examining generative AI use in language learning contexts, there remains a notable gap in systematically reviewing how generative AI is being addressed in teacher preparation and professional development. To address this gap, this study presents a bibliometric-based systematic literature review of research on generative AI in language teacher education, employing text-mining algorithms, data-mining heuristics, and social network analysis. The findings identify five major thematic clusters in the literature: (1) Professional Development and AI Literacy in Teacher Education, (2) Chatbots and Conversational AI in Language Learning, (3) Generative AI for Instructional Design, Assessment, and Lesson Planning, (4) Generative AI as a Tool for Enhancing EFL Writing Skills, and (5) Pre-Service Teachers’ Perceptions and Readiness. This review contributes to the expanding discourse on AI in education by mapping the current research landscape and identifying critical directions for advancing generative AI integration in language teacher education. © 2025 Elsevier B.V., All rights reserved.;"artificial intelligence; chatbot; educational technology; EFL; generative AI; higher education; language teacher education; pre-service teachers";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v7n2.102841;26521687;;;;;;;;7;2;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017082687&doi=10.29140%2Ftltl.v7n2.102841&partnerID=40&md5=a5c3f6c1bd6090c11cde0ab79c394621;;Q4;;True;False;Journal not found in DBs
Tran, Q.;Investigating a Case Study of Self-Instructed Language Learning with ChatGPT;Based on the concept of “learner agency”, this single case study examines the self-instructed language learning process of a language learner with ChatGPT since May 2024. To serve the purpose of the study, qualitative data were collected through a semi-structured interview, the participant’s chat logs with the bot, and his learning diary. The analysis of collected data revealed (1) factors that led to the learner’s informed decision to incorporate ChatGPT as a primary learning tool into his self-practice for an international standardized English test, (2) how the tool was utilized to serve different learning purposes, and (3) the main challenges the learner encountered during that process. The findings provide implications for language learning approaches with transformative artificial intelligence (AI) technologies while emphasizing the importance of open discourse on AI’s integration into education and of training on self-study skills for learners. © 2025 Elsevier B.V., All rights reserved.;"artificial intelligence; case study; ChatGPT; Informal language learning; learner agency; qualitative research; self-instructed language learning";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v7n3.102493;26521687;;;;;;;;7;3;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011524862&doi=10.29140%2Ftltl.v7n3.102493&partnerID=40&md5=4f8a4f78ea149ae7459e67ed15b3001b;;Q4;;True;False;Journal not found in DBs
"Choi, K.Y.; Wu, C.; Moorhouse, B.L.";Exploring the Use of Generative Artificial Intelligence (GenAI) in English Language Teaching: Voices from In-Service Teachers at an Early-Adopting Hong Kong Secondary School;The launch of ChatGPT has drawn public attention to the potential of Generative Artificial Intelligence (GenAI) tools due to its high accessibility and affordances. Many language teachers have attempted to integrate GenAI tools into their teaching practices. However, there is a dearth of research investigating the use of AI in the context of secondary schools. Although some Hong Kong secondary schools have started incorporating GenAI tools to teach science and technology-related subjects, schools integrating GenAI tools in language education are still scanty. Therefore, this qualitative case study used an in-depth focus-group interview with three in-service English language teachers in an early-adopting Hong Kong secondary school to explore their experiences of utilizing GenAI tools in actual teaching practices and the underlying factors facilitating or hindering the application of GenAI in English language teaching. The findings showed that GenAI tools could be used to assist teachers in various tasks, including proofreading, generating teaching and assessment materials, offering feedback and suggestions, etc. The findings indicated that environmental factors, benefits to students’ language learning, and benefits to teachers’ professional work, were the enablers for English teachers to integrate GenAI tools. Moreover, limitations of GenAI tools and teachers’ internal hindrance were identified as the barriers to incorporating GenAI in English language teaching. Practical implications and limitations are discussed. © 2025 Elsevier B.V., All rights reserved.;"English language teaching; Generative Artificial Intelligence; in-service teachers; secondary schools";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v7n3.102516;26521687;;;;;;;;7;3;;;;;;;;;;;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007341443&doi=10.29140%2Ftltl.v7n3.102516&partnerID=40&md5=ed67c7c6c4d31dace95f9f1429004269;;Q4;;True;False;Journal not found in DBs
"Soori, A.; Khojasteh, L.; Javed, F.";Comparing Teacher E-Feedback, AI Feedback, and Hybrid Feedback in Enhancing EFL Writing Skills;Effective feedback plays a critical role in enhancing the writing skills of English as a Foreign Language (EFL) learners. This study examines the comparative effectiveness of three feedback approaches— Teacher e-feedback, AI-based feedback, and a hybrid model—in enhancing the writing performance of Iranian intermediate-level EFL learners. A randomized controlled trial was conducted with 88 intermediate-level EFL learners, who were randomly assigned to one of three feedback groups: (1) teacher e-feedback, (2) AI-generated feedback using tools such as ChatGPT and Grammarly, and (3) a hybrid approach that combined both feedback types. Writing proficiency was assessed using IELTS writing tasks and the Oxford Placement Test before and after the intervention. Significant differences were observed between the groups, with the hybrid feedback group showing the most substantial improvements, particularly in task achievement, coherence, and grammatical accuracy. AI feedback was most effective in enhancing lexical resources. Qualitative reflections supported the quantitative findings, with participants in the hybrid group reporting increased confidence, reduced anxiety, and appreciation for the balanced, dual-source feedback. These results highlight the pedagogical potential of integrating human and AI feedback to enhance EFL writing instruction. © 2025 Elsevier B.V., All rights reserved.;"AI feedback; EFL writing; hybrid feedback; teacher e-feedback; writing performance";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v7n3.102626;26521687;;;;;;;;7;3;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013858242&doi=10.29140%2Ftltl.v7n3.102626&partnerID=40&md5=07d154579a18e5f9aec9b7e56801b9b3;;Q4;;True;False;Journal not found in DBs
"Hao, T.; Zhao, X.; Lu, Z.";Spontaneous Use of Generative Artificial Intelligence in Preparing for College English Test: GenAI Adoption Factors, Learners’ Motivation, and Self-Efficacy;This study investigates the adoption and impact of generative artificial intelligence (GenAI) tools on English as a foreign language (EFL) learners, focusing on self-efficacy, motivation, and predicted exam performance. Using a mixed-methods approach, the research combines survey data (N = 595) and interviews (N = 8) from Chinese university students preparing for the College English Test 4. The quantitative analysis shows that positive attitudes, perceived usefulness, and ease of use predict GenAI usage frequency, while intrinsic motivation negatively correlates with use. GenAI use frequency did not significantly affect predicted test scores or self-efficacy levels. Younger students used GenAI more frequently. The qualitative data reveal that students primarily use GenAI as supplementary learning resources, which, while beneficial, do not substantially enhance self-efficacy or predicted exam performance. The study found a knowledge gap in the effectiveness of these tools in EFL contexts. It suggests strategies for optimizing GenAI in EFL learning, including blending with traditional methods, providing user training, balancing technology with traditional approaches, ensuring equal access, and customizing GenAI for education. The findings imply a need for educators to supervise GenAI use and for institutions to facilitate effective integration. Future research should examine the long-term and cultural effects of GenAI use in education. © 2025 Elsevier B.V., All rights reserved.;"English as a foreign language (EFL); generative AI (GenAI); mixed method; motivation; self-efficacy; technology enhanced language learning";;Technology in Language Teaching and Learning;Article;Castledown Publishers;10.29140/tltl.v7n3.102640;26521687;;;;;;;;7;3;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017901583&doi=10.29140%2Ftltl.v7n3.102640&partnerID=40&md5=9e77b4a5b4c56a9f5d2be7ccbc7844d6;;Q4;;True;False;Journal not found in DBs
"Prasetyo, V.R.; Naufal, M.F.; Wijaya, K.";Sentiment Analysis of ChatGPT on Indonesian Text using Hybrid CNN and Bi-LSTM;This study explores sentiment analysis on Indonesian text using a hybrid deep learning approach that combines Convolutional Neural Networks (CNN) and Bidirectional Long Short-Term Memory (Bi-LSTM). Due to the complex linguistic structure of the Indonesian language, sentiment classification remains challenging, necessitating advanced methods to capture both local patterns and sequential dependencies. The primary objective of this research is to improve sentiment classification accuracy by leveraging a hybrid model that integrates CNN for feature extraction and Bi-LSTM for contextual understanding. The dataset consists of 800 manually labeled samples collected from social media platforms, preprocessed using case folding, stop word removal, and lemmatization. Word embeddings are generated using the Word2Vec CBOW model, and the classification model is trained using a hybrid architecture. The best performance was achieved with 32 Bi-LSTM units, a dropout rate of 0.5, and L2 regularization, which was evaluated using Stratified K-Fold cross-validation. Experimental results demonstrate that the hybrid model outperforms conventional deep learning approaches, achieving 95.24% accuracy, 95.09% precision, 95.15% recall, and 95.99% F1 score. These findings highlight the effectiveness of hybrid architectures in sentiment analysis for low-resource languages. Future work may explore larger datasets or transfer learning to enhance generalizability. © 2025 Elsevier B.V., All rights reserved.;"Bi-LSTM; CNN; hybrid model; sentiment analysis";;Jurnal RESTI;Article;Ikatan Ahli Informatika Indonesia;10.29207/resti.v9i2.6334;25800760;;;;;;;;9;2;;;;;;;;;;;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005983967&doi=10.29207%2Fresti.v9i2.6334&partnerID=40&md5=e84880f74714fcbe77c64d1fcd1936fd;;;;False;False;Journal not found in DBs
Popescu, T.;TRANSFORMING ACADEMIC WRITING WITH AI: TOOLS FOR EFFECTIVE LEARNING;Artificial Intelligence (AI), particularly through chatbots like ChatGPT, is increasingly integrated into education, especially writing instruction. While its potential to support writing development is acknowledged, its full pedagogical value remains underexplored. This paper examines how ChatGPT can be used in classrooms to simulate real-world writing tasks— such as argumentative and creative writing—and its role in enhancing proficiency across genres. It also addresses the ethical and instructional implications of integrating AI into the writing process. This analysis examined revision data from eleven student texts to explore how various error types, word count changes, and revision behaviours relate to improvements in essay quality. The goal was to understand whether measurable features of revision correlate with outcomes such as improved essay scores and CAE grades. The paper also provides practical guidelines for teachers on incorporating ChatGPT into writing instruction. Findings show that ChatGPT offers immediate, valuable feedback that supports revision and improves student writing. It assists with structural, grammatical, and stylistic issues, though its suggestions require critical evaluation to avoid over-reliance. While ChatGPT boosts engagement and fosters creativity, maintaining student independence remains essential. In conclusion, when used thoughtfully, ChatGPT can be a powerful tool in writing education, offering interactive feedback and personalised support. However, educators must use it ethically and responsibly, ensuring it complements rather than replaces traditional instruction. Further research is needed to assess AI’s long-term impact on writing and to develop best practices for its integration. © 2025 Elsevier B.V., All rights reserved.;"Artificial Intelligence; ChatGPT; Feedback; Pedagogical practices, EFL error correction; Writing education";;Journal of Linguistic and Intercultural Education;Article;Aeternitas Publishing House;10.29302/jolie.2024.17.3.8;20656599;;;;;;;;17;3;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017151348&doi=10.29302%2Fjolie.2024.17.3.8&partnerID=40&md5=30d7f2914b83ef626659070a8a04d83f;;Q4;;True;False;Journal not found in DBs
"Moran, Ma Teresa Fuentes; Santana, Fermin Dominguez; Rodriguez, Crispulo Travieso";ARTIFICIAL INTELLIGENCE AS A LEXICOGRAPHICAL TOOL: ANALYTICAL STUDY ON THE PERFORMANCE OF CHATGPT, COPILOT, AND GEMINI IN SPANISH LEXICAL UNITS;"The popularization of generative artificial intelligence (GAI) tools has created unprecedented research scenarios in metalexicography, adding to those already derived from new ways of accessing lexical information. In this context, the present study analyses the lexicographical entries generated by three generative artificial intelligence tools (ChatGPT, Copilot, and Gemini) for twenty-four Spanish terms belonging to six different categories. A descriptive approach is proposed based on three aspects: types of information, ways in which it is presented, and similarity to the information provided by two monolingual dictionaries ( Diccionario de la lengua espa & ntilde;ola and Diccionario del espa & ntilde;ol actual). ). An analysis was carried out based on ten variables related to the formal components of the lexicographical entry and two additional variables related to the sources of information and the presence of errors. Results show dissimilar behaviour for the formal elements in each of the GAI tools, with irregular performances across all dimensions addressed. The overall assessment of their performance allows us to conclude that, nowadays, these tools do not provide steady information, which makes human intervention still essential for developing lexical resources. Nevertheless, they might be valuable after post-editing by lexicographers or as a basis for didactical applications to improve lexical proficiency in language teaching, for instance. Finally, it should be noted that this study may help to shape valid methodologies for emerging research in these new environments.";;;RLA-REVISTA DE LINGUISTICA TEORICA Y APLICADA;Article;;10.29393/RLA62;0718-4883;;;;;;;;62;1;;13;38;;;JUL 2024;2024;2;10;13;2025-01-27;;;;;Q3;False;True;Journal not found in DBs
Luan, Yun;HUMAN-MACHINE COLLABORATION IN THE TEACHING-LEARNING PROCESS OF SPANISH WRITING: THE IMPACT OF CHATGPT IN THE EDUCATIONAL CONTEXT OF CHINESE UNIVERSITY STUDENTS;This study explores the impact of human-machine collaboration, specifically through the use of ChatGPT, on the teaching-learning process of Spanish writing for Chinese intermediate and advanced level students. Based on sociocultural activity theory and the writing process approach, the study was conducted with two groups: an experimental group that used ChatGPT as support in the drafting process, and a control group that followed traditional teaching methods. The analysis focuses on how interaction with generative artificial intelligence tools can influence various dimensions of writing, such as coherence, cohesion, lexical richness, originality and creativity, and grammatical and orthographic correctness. The results, evaluated through independent sample t-tests, reveal significant differences in the quality of texts produced by the experimental group, especially in grammatical and orthographic correctness, lexical richness, and originality and creativity, compared to the control group. Coherence is the dimension that showed a more moderate improvement. Despite the observed benefits, significant challenges are identified, such as the potential excessive dependence of students on technology and variability in the quality of interactions with ChatGPT, which suggests the need for proper training and stricter teacher supervision. The study concludes that the integration of ChatGPT can enhance writing skills, provided it is combined with a pedagogical approach that promotes the development of critical thinking, creativity, and autonomy in the learning process.;;;RLA-REVISTA DE LINGUISTICA TEORICA Y APLICADA;Article;;10.29393/RLA62-1CHYL10001;0718-4883;;;;;;;;62;2;;13;35;;;DEC 2024;2024;1;12;12;2025-07-02;;;;;Q3;False;True;Journal not found in DBs
"FUENTES MORÁN, M.a TERESA; DOMÍNGUEZ SANTANA, FERMÍN; TRAVIESO RODRÍGUEZ, CRÍSPULO";LA INTELIGENCIA ARTIFICIAL COMO HERRAMIENTA LEXICOGRÁFICA: ESTUDIO ANALÍTICO SOBRE EL RENDIMIENTO DE CHATGPT, COPILOT Y GEMINI EN UNIDADES LÉXICAS DEL ESPAÑOL;ABSTRACT The popularization of generative artificial intelligence (GAI) tools has created unprecedented research scenarios in metalexicography, adding to those already derived from new ways of accessing lexical information. In this context, the present study analyses the lexicographical entries generated by three generative artificial intelligence tools (ChatGPT, Copilot, and Gemini) for twenty-four Spanish terms belonging to six different categories. A descriptive approach is proposed based on three aspects: types of information, ways in which it is presented, and similarity to the information provided by two monolingual dictionaries (Diccionario de la lengua española and Diccionario del español actual). An analysis was carried out based on ten variables related to the formal components of the lexicographical entry and two additional variables related to the sources of information and the presence of errors. Results show dissimilar behaviour for the formal elements in each of the GAI tools, with irregular performances across all dimensions addressed. The overall assessment of their performance allows us to conclude that, nowadays, these tools do not provide steady information, which makes human intervention still essential for developing lexical resources. Nevertheless, they might be valuable after post-editing by lexicographers or as a basis for didactical applications to improve lexical proficiency in language teaching, for instance. Finally, it should be noted that this study may help to shape valid methodologies for emerging research in these new environments.;;;RLA. Revista de lingüística teórica y aplicada;research-article;;10.29393/rla62-1iamf30001;0718-4883;;;;;;;;62;1;;13;38;;;2024;2024;1;3;8;2024-11-14;;;;;Q3;False;True;Journal not found in DBs
"Jomaa, N.; Attamimi, R.; Al Mahri, M.";Utilising Artificial Intelligence (AI) in Vocabulary Learning by EFL Omani Students: The Effect of Age, Gender, and Level of Study;AI tools have enabled FLLs to navigate their journeys of learning languages. This poses several questions, particularly about the most common AI tools used in learning vocabulary and the attitudes of EFL Omani students toward using AI tools in learning English. A mixed-method research design was utilised, and the sampling included 236 respondents studying in the Sultanate of Oman. An SPSS version 29 was employed in analysing the quantitative data, whereas the qualitative data were analysed thematically. The qualitative data revealed that EFL Omani students depended heavily on Google Translation (44%) as the highest AI tool, followed by the Dictionary Application (32%), ChatGPT (22%), Chat Bot (17.40%), and Duolingo (15.70%). In addition, translating the meaning of a new word occupied the highest learning strategy (frequency: 141), followed by learning new vocabulary (frequency: 134), translating the meaning of a full sentence (frequency: 91), and learning the correct pronunciation of strange words (frequency: 90), whereas learning grammar, enhancing writing and reading skills had the lowest frequency. The quantitative data showed that the overall mean is (3.67), which reveals a high frequency of use of AI tools in learning vocabulary. The lowest mean (3.45) is associated with trusting the new vocabulary recommended by AI tools, whereas the positive effectiveness of AI tools has the highest mean (3.92). However, it was found that age, gender, and level of study do not affect EFL Omani students' use of AI tools to learn vocabulary. © 2024 Elsevier B.V., All rights reserved.;"AI Tools; ELT; FL; L2 Vocabulary; Omani Students";;Forum for Linguistic Studies;Article;Bilingual Publishing Group;10.30564/fls.v6i5.6968;"27050602; 27050610";;;;;;;;6;5;;;;;;;;;;;;9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209756139&doi=10.30564%2Ffls.v6i5.6968&partnerID=40&md5=e51f334aeb0201c2d4dc53467055512f;;Q2;;True;False;Journal not found in DBs
"Jamshed, M.; Alqahtani, N.; Albedah, F.; Banu, S.";Empowering Saudi EFL Learners Using ChatGPT: An Analysis of Challenges and Educational Opportunities;The study assessed Saudi students’ opinions, obstacles and difficulties, and the educational prospects and opportunities of ChatGPT usage in EFL classrooms. The simple random selection method was utilised to choose 235 respondents from the various stages of undergraduate programs at different colleges of two Saudi universities. A primarily self-designed questionnaire with refined items from earlier studies was sent to other groups for responses. Descriptive statistics were utilized to analyze the data quantitatively. The findings revealed that Saudi students had great excitement about ChatGPT as an important tool for language acquisition and instruction. They viewed it positively as it helped them overcome certain issues they experienced in a conventional mode of instruction. The study also found that ChatGPT usage posed certain obstacles and challenges such as inhibiting innovative and critical thinking, distorting content and quality, failing to replace EFL teachers, and failing to fully understand the social connotations embedded in idioms and phrases. It was revealed that the remarkable technological and digital infrastructure of Saudi Arabia offers substantial pedagogical and educational implications for the ChatGPT integration in Saudi EFL classes. The study suggests the incorporation of more regions and different from different disciplines to add to the study’s reliability and validity. © 2025 Elsevier B.V., All rights reserved.;"Certain Obstacles and Challenges; Inhibiting Innovative and Critical Thinking; Remarkable Technological and Digital Infrastructure; Substantial Pedagogical Consequences";;Forum for Linguistic Studies;Article;Bilingual Publishing Group;10.30564/fls.v6i6.7426;"27050602; 27050610";;;;;;;;6;6;;;;;;;;;;;;4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011215748&doi=10.30564%2Ffls.v6i6.7426&partnerID=40&md5=880ed41b7f169244b191a66a5da4b797;;Q2;;True;False;Journal not found in DBs
"Feng, Q.; Guo, Z.";A Case Study: Investigating High School English Student Engagement in Language Learning through YouTube Music Videos;This case study investigated high school student engagement in acquiring second language knowledge through YouTube music videos. A Chinese English learner who had lived in the United States for a year developed fundamental language skills but was hesitant to engage in language learning at the start of the project. Data collection was conducted over 10 weeks and involved semi-structured interviews, classroom observations, and in-class artifacts related to YouTube music learning activities. The findings indicated that the learner engaged with YouTube music videos from four perspectives: behavioral, emotional, social, and cognitive. From a behavioral perspective, singing recurring routines continuously engages the learner by promoting participation in language development. From an emotional and social perspective, music genres engage the learner through high affective input and peer interaction, facilitating the acquisition of cultural knowledge and daily communicative skill. From a cognitive perspective, multimodal features (e.g., lyrics and rhythm) stimulate the learner’s cognition by providing mnemonic aids that enhance memory for vocabulary and pronunciation competencies. Theoretical and pedagogical implications are provided for English language learning contexts, shedding light on the conceptual development of student engagement, multilingual teacher education, and multimodal learning. This study identifies future research trends in the instructional use of YouTube videos from multiple perspectives, including the transfer of working memory to long-term memory, digital multimodal composing (DMC), and generative AI. © 2025 Elsevier B.V., All rights reserved.;"Multimodal Learning; Music; Second Language Acquisition (SLA); Student Engagement; YouTube Video";;Forum for Linguistic Studies;Article;Bilingual Publishing Group;10.30564/fls.v7i1.7631;"27050602; 27050610";;;;;;;;7;1;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213843699&doi=10.30564%2Ffls.v7i1.7631&partnerID=40&md5=04e1fb9543dcdccb8d376b90d67c527d;;Q2;;True;False;Journal not found in DBs
