"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Xu, P.; Shao, W.; Zhang, K.; Gao, P.; Liu, S.; Lei, M.; Meng, F.; Huang, S.; Qiao, Y.; Luo, P.","Xu, Peng (58205384400); Shao, Wenqi (57210644615); Zhang, Kaipeng (57191223942); Gao, Peng (57204294274); Liu, Shuo (58450012400); Lei, Meng (57212482493); Meng, Fanqing (58290097900); Huang, Siyuan (58451417600); Qiao, Yu (58832171400); Luo, Ping (57203040853)","58205384400; 57210644615; 57191223942; 57204294274; 58450012400; 57212482493; 58290097900; 58451417600; 58832171400; 57203040853","LVLM-EHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models","2025","IEEE Transactions on Pattern Analysis and Machine Intelligence","47","3","","1877","1893","0","9","10.1109/TPAMI.2024.3507000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210902043&doi=10.1109%2FTPAMI.2024.3507000&partnerID=40&md5=0fff3fc0a3dbed0ca374f39f23b20a6e","Large Vision-Language Models (LVLMs) have recently played a dominant role in multimodal vision-language learning. Despite the great success, it lacks a holistic evaluation of their efficacy. This paper presents a comprehensive evaluation of publicly available large multimodal models by building an LVLM evaluation Hub (LVLM-eHub). Our LVLM-eHub consists of 13 representative LVLMs such as InstructBLIP and LLaVA, which are thoroughly evaluated by a quantitative capability evaluation and an online arena platform. The former evaluates five categories of multimodal capabilities of LVLMs such as visual question answering and object hallucination on 42 in-domain text-related visual benchmarks, while the latter provides the user-level evaluation of LVLMs in an open-world question-answering scenario. The study investigates how specific features of LVLMs such as model configurations, modality alignment mechanisms, and training data affect the multimodal understanding. By conducting a comprehensive comparison of these features on quantitative and arena evaluation, our study uncovers several innovative findings, which establish a fundamental framework for the development and evaluation of innovative strategies aimed at enhancing multimodal techniques. © 2025 Elsevier B.V., All rights reserved.","large language model; multi-turn evaluation; multimodal evaluation; Vision-language model","Benchmarking; Comprehensive evaluation; Language model; Large language model; Multi-modal; Multi-turn; Multi-turn evaluation; Multimodal evaluation; Question Answering; Vision-language model; Visual languages","","IEEE Computer Society","01628828","","ITPID","","Article","Final","","Scopus","2-s2.0-85210902043"
"Vo, H.Q.; Wang, L.; Wong, K.K.; Ezeana, C.F.; Yu, X.; Yang, W.; Chang, J.; Nguyen, H.V.; Wong, S.T.C.","Vo, Hung Q. (57245827100); Wang, Lin (57089607100); Wong, Kelvin K. (35222708000); Ezeana, Chika F. (57212165594); Yu, Xiaohui (57157756900); Yang, Wei Tse (7407758737); Chang, Jenny Chee Ning (25824682700); Nguyen, Hien Van (58097655900); Wong, Stephen T.C. (24726534400)","57245827100; 57089607100; 35222708000; 57212165594; 57157756900; 7407758737; 25824682700; 58097655900; 24726534400","Frozen Large-Scale Pretrained Vision-Language Models are the Effective Foundational Backbone for Multimodal Breast Cancer Prediction","2025","IEEE Journal of Biomedical and Health Informatics","29","5","","3234","3246","0","3","10.1109/JBHI.2024.3507638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210545017&doi=10.1109%2FJBHI.2024.3507638&partnerID=40&md5=cabe59228dcf5242f0ad56bc7ae1f7cb","Breast cancer is a pervasive global health concern among women. Leveraging multimodal data from enterprise patient databases - including Picture Archiving and Communication Systems (PACS) and Electronic Health Records (EHRs) - holds promise for improving prediction. This study introduces a multimodal deep-learning model leveraging mammogram datasets to evaluate breast cancer prediction. Our approach integrates frozen large-scale pretrained vision-language models, showcasing superior performance and stability compared to traditional image-tabular models across two public breast cancer datasets. The model consistently outperforms conventional full fine-tuning methods by using frozen pretrained vision-language models alongside a lightweight trainable classifier. The observed improvements are significant. In the CBIS-DDSM dataset, the Area Under the Curve (AUC) increases from 0.867 to 0.902 during validation and from 0.803 to 0.830 for the official test set. Within the EMBED dataset, AUC improves from 0.780 to 0.805 during validation. In scenarios with limited data, using Breast Imaging-Reporting and Data System category three (BI-RADS 3) cases, AUC improves from 0.91 to 0.96 on the official CBIS-DDSM test set and from 0.79 to 0.83 on a challenging validation set. This study underscores the benefits of vision-language models in jointly training diverse image-clinical datasets from multiple healthcare institutions, effectively addressing challenges related to non-aligned tabular features. Combining training data enhances breast cancer prediction on the EMBED dataset, outperforming all other experiments. In summary, our research emphasizes the efficacy of frozen large-scale pretrained vision-language models in multimodal breast cancer prediction, offering superior performance and stability over conventional methods, reinforcing their potential for breast cancer prediction. © 2025 Elsevier B.V., All rights reserved.","BI-RADS 3; breast cancer; electronic health records (EHRs); foundation models; large language models; large vision models; mammograms; multimodal learning; tabular data; vision-language learning","Diseases; Lung cancer; Mammography; Picture archiving and communication systems; Prediction models; Records management; Visual languages; Breast Cancer; Breast imaging reporting and data systems; Breast imaging-reporting and data system category three; Electronic health; Electronic health record; Foundation models; Health records; Language learning; Language model; Large language model; Large vision model; Mammogram; Multi-modal learning; Tabular data; Vision model; Vision-language learning; Article; artificial intelligence; artificial neural network; back propagation; breast cancer; breast imaging reporting and data system; classifier; deep learning; electronic health record; generative pretrained transformer; language model; mammography; multilayer perceptron; multimodality cancer therapy; prediction; pretrained visual language model; receiver operating characteristic; supervised machine learning; training; transfer learning (machine learning); validation process; vision; breast tumor; diagnostic imaging; factual database; female; human; procedures; Breast Neoplasms; Databases, Factual; Deep Learning; Electronic Health Records; Female; Humans","","Institute of Electrical and Electronics Engineers Inc.","21682208; 21682194","","ITIBF","40030302","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85210545017"
"Teng, M.F.","Teng, Mark Feng (57190169191)","57190169191","Metacognition, Self-efficacy Belief, Language Learning Motivation, and Perceived Progress in Online English Learning: A Cross-lagged Analysis","2025","International Journal of TESOL Studies","7","1","","4","29","0","7","10.58304/ijts.20250102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208945732&doi=10.58304%2Fijts.20250102&partnerID=40&md5=b462b2fce4c72fbb3de58b1927a0e129","The present study aims to address the research gap by investigating the relationships among students’ metacognitive strategies (MS), self-efficacy belief (SEB), language learning motivation (LLM), and perceived progress in online English learning. Utilizing a cross-lagged analysis approach, the study analyzed survey data collected twice from a sample of 627 university students in China. The findings provide new insights into the changes in learners’ metacognition, motivation, and self-efficacy belief over time. The findings suggested that there is a reciprocal relationship between SEB and MS, indicating that they influence each other. MS predicts LLM and perceived progress in online English learning, suggesting that metacognitive strategies have a causal effect on motivation and learning outcomes. LLM predicts SEB and perceived progress in English learning, indicating that motivation plays a causal role in shaping self-efficacy belief and learning outcomes. Perceived progress in English learning is influenced by other variables but does not act as a cause among the factors examined in this study. These findings highlight the potential to enhance online English learning by fostering learners’ awareness of metacognition, self-efficacy belief, and motivation. © 2024 Elsevier B.V., All rights reserved.","digital learning; language learning motivation; Metacognitive strategies; online English learning; self-efficacy belief","","","International Tesol Union Co., Ltd","26336898; 26326779","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208945732"
"Liu, X.; Xiao, Y.","Liu, Xiaohua (57208442738); Xiao, Yangyu (55340962700)","57208442738; 55340962700","Chinese university teachers’ engagement with generative AI in different stages of foreign language teaching: A qualitative enquiry through the prism of ADDIE","2025","Education and Information Technologies","30","1","1056","485","508","0","16","10.1007/s10639-024-13117-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207324485&doi=10.1007%2Fs10639-024-13117-9&partnerID=40&md5=8bc33550b3a53e753bb2a339aa7c7936","The bulk of recent research on generative AI (GenAI) in education mainly focused on its potential pedagogical uses as well as how students actually exploit such tools during learning, while little has been done to systematically investigate how teachers integrate those tools in different parts of their teaching process. To bridge this gap, the present study conducted in-depth interviews with 17 university English as a foreign language (EFL) teachers in mainland China, and scrutinized their different phases of teaching for any GenAI involvement. Through the lens of the ADDIE model (i.e., analysis, design, development, implementation, and evaluation), it was found that GenAI tools were mainly involved in the development stage (e.g., devising teaching activities and developing teaching materials). During the implementation stage, teachers merely introduced GenAI tools to their students, through means such as demonstrations and workshops, indicating a lack of organic integration of those tools into curriculum-based activities. GenAI involvement in the other three stages of instruction was reported to be none to minimal. The participants also shared both positive and negative experiences with GenAI in their EFL instruction. These findings highlight the urgent need for providing stage-specific professional training on how to integrate GenAI into different instructional stages and developing specialized educational GenAI programs that can produce accurate and high-quality outputs. Other implications for incorporating GenAI into education are also discussed. © 2025 Elsevier B.V., All rights reserved.","ADDIE; ChatGPT; Generative artificial intelligence; Higher education; Interview; Language teaching","","","Springer","13602357","","","","Article","Final","","Scopus","2-s2.0-85207324485"
"Yuan, T.; Zhang, X.; Liu, B.; Liu, K.; Jin, J.; Jiao, Z.","Yuan, Tongtong (57191911836); Zhang, Xuange (58638476800); Liu, Bo (56220547600); Liu, Kun (57197928964); Jin, Jian (58596975700); Jiao, Zhenzhen (55391449800)","57191911836; 58638476800; 56220547600; 57197928964; 58596975700; 55391449800","Surveillance Video-and-Language Understanding: From Small to Large Multimodal Models","2025","IEEE Transactions on Circuits and Systems for Video Technology","35","1","","300","314","0","0","10.1109/TCSVT.2024.3462433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204959985&doi=10.1109%2FTCSVT.2024.3462433&partnerID=40&md5=b58b4b3224426e2fa853421a7a3ee63b","Surveillance videos play a crucial role in public security. However, current tasks related to surveillance videos primarily focus on classifying and localizing anomalous events. Despite achieving notable performance, existing methods are restricted to detecting and classifying predefined events and lack satisfactory semantic understanding. To tackle this challenge, we introduce a novel research avenue focused on Video-and-Language Understanding for surveillance (VALU), and construct the first multimodal surveillance video dataset. We manually annotate the real-world surveillance dataset UCF-Crime with fine-grained event content and timing. Our newly annotated dataset, UCA (UCF-Crime Annotation), contains 23,542 sentences, with an average length of 20 words, and its annotated videos are as long as 110.7 hours. Moreover, we evaluate SOTA models on five multimodal tasks using this newly created dataset, establishing new baselines for surveillance VALU, from small to large models. Our experiments reveal that mainstream models, which perform well on previously public datasets, exhibit poor performance on surveillance video, highlighting new challenges in surveillance VALU. In addition to conducting baseline experiments to compare the performance of existing models, we also propose novel methods for multimodal anomaly detection tasks and finetune multimodal large language model models using our dataset. All the experiments highlight the necessity of constructing this multimodal dataset to advance surveillance AI. Upon the experimental results mentioned above, we conduct further in-depth analysis and discussion. The dataset and codes are provided at https://xuange923.github.io/Surveillance-Video-Understanding. © 2025 Elsevier B.V., All rights reserved.","dataset annotation; multimodal large language learning; multimodal learning; Surveillance video understanding","Anomaly detection; Crime; Security systems; Dataset annotation; Language learning; Language understanding; Multi-modal; Multi-modal learning; Multimodal large language learning; Performance; Surveillance video; Surveillance video understanding; Video understanding; Semantics","","Institute of Electrical and Electronics Engineers Inc.","10518215","","ITCTE","","Article","Final","","Scopus","2-s2.0-85204959985"
"Heathco, G.J.","Heathco, Gregory J. (59330266000)","59330266000","AI translated task setup for non-native English speaking students","2025","Communication Teacher","39","1","","26","32","0","1","10.1080/17404622.2024.2397558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204114750&doi=10.1080%2F17404622.2024.2397558&partnerID=40&md5=c2658d2de9e1a3145e482e5f2f1f3bd6","University classrooms are increasingly populated by students with diverse nationalities and native languages (L1). The growing number of students in English-led classrooms who speak English as a second or lower language (L2) may face added difficulties in understanding the specific task objectives or directions, as explained by native-English-speaking instructors. Emerging generative AI (genAI) technology offers new opportunities for native-English instructors to provide clear task setup in their students' L1. This single-class activity utilizes genAI software to translate English-language task setup into student L1 and enable L2 students to perform a complex and unfamiliar English comprehension task. The post-activity appraisal compares one cohort of students who performed the task with the genAI translated instructions to a cohort who performed the same task with English-language instructions. Courses: English as Second Language (ESL), English Conversation, English Comprehension, and any courses in which groups of L2 students are present. Objectives: L2 students will be able to perform complex, unfamiliar ESL comprehension tasks with confidence and clarity of direction. Instructors will be able to transfer this strategy to other tasks and communicate objectives and directions to their L2 students more clearly in the students' L1. This strategy may be transferred to any course with L2 learners. © 2025 Elsevier B.V., All rights reserved.","","","","Routledge","17404622; 17404630","","","","Article","Final","","Scopus","2-s2.0-85204114750"
"Cong, Y.","Cong, Yan (57610101200)","57610101200","Demystifying large language models in second language development research","2025","Computer Speech and Language","89","","101700","","","0","8","10.1016/j.csl.2024.101700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199945715&doi=10.1016%2Fj.csl.2024.101700&partnerID=40&md5=47b2c5abeb8ba835fdddf2ad247bb8ef","Evaluating students' textual response is a common and critical task in language research and education practice. However, manual assessment can be tedious and may lack consistency, posing challenges for both scientific discovery and frontline teaching. Leveraging state-of-the-art large language models (LLMs), we aim to define and operationalize LLM-Surprisal, a numeric representation of the interplay between lexical diversity and syntactic complexity, and to empirically and theoretically demonstrate its relevance for automatic writing assessment and Chinese L2 (second language) learners’ English writing development. We developed an LLM-based natural language processing pipeline that can automatically compute text Surprisal scores. By comparing Surprisal metrics with the widely used classic indices in L2 studies, we extended the usage of computational metrics in Chinese learners’ L2 English writing. Our analyses suggested that LLM-Surprisals can distinguish L2 from L1 (first language) writing, index L2 development stages, and predict scores provided by human professionals. This indicated that the Surprisal dimension may manifest itself as critical aspects in L2 development. The relative advantages and disadvantages of these approaches were discussed in depth. We concluded that LLMs are promising tools that can enhance L2 research. Our showcase paves the way for more nuanced approaches to computationally assessing and understanding L2 development. Our pipelines and findings will inspire language teachers, learners, and researchers to operationalize LLMs in an innovative and accessible manner. © 2024 Elsevier B.V., All rights reserved.","Automatic essay scoring; Bilingualism; L2 interlanguage; L2 writing development; Large language models; Natural language processing","Computational linguistics; Natural language processing systems; Pipeline processing systems; Automatic essay scoring; Bilingualism; English writings; L2 interlanguage; L2 writing development; Language model; Language processing; Large language model; Natural language processing; Natural languages; Pipelines","","Academic Press","08852308; 10958363","","CSPLE","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85199945715"
"Bucol, J.L.; Sangkawong, N.","Bucol, Junifer Leal (57222069325); Sangkawong, Napattanissa (59163771600)","57222069325; 59163771600","Exploring ChatGPT as a writing assessment tool","2025","Innovations in Education and Teaching International","62","3","","867","882","0","18","10.1080/14703297.2024.2363901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195385167&doi=10.1080%2F14703297.2024.2363901&partnerID=40&md5=6c81d1c769ec2526c9578f0d52732482","This research paper employs an exploratory framework to evaluate the potential of ChatGPT as an Automated Writing Evaluation (AWE) tool in teaching English as a Foreign Language (EFL) in Thailand. The main objective is to investigate how well ChatGPT can assess students’ writing using prompts and pre-defined rubrics compared to human raters. Moreover, the study examines its strengths and weaknesses as an assessment tool by analysing the teachers’ reflections during the assessment process. Quantitative analyses revealed significant relationships between trial accounts in comparison with the human ratings. Qualitative analysis unearths patterns in the feedback, shedding light on ChatGPT’s strengths and its limitations as an AWE tool. ChatGPT displays substantial promise as an AWE tool, offering distinct features such as human-like interface, consistency, efficiency, and scalability. Nonetheless, educators must be cognisant of its limitations. This study recognises that the strategic use of ChatGPT could enhance the evaluation process among teachers and foster the development of EFL students’ written communication skills. © 2025 Elsevier B.V., All rights reserved.","automated assessment; ChatGPT; corrective feedback; rubrics; writing","","","Routledge","14703297; 14703300","","","","Article","Final","","Scopus","2-s2.0-85195385167"
"Yavuz, F.; Çelik, Ö.; Yavaş Çelik, G.","Yavuz, Fatih (57207936391); Çelik, Özgür (57218280974); Yavaş Çelik, Gamze (59155402100)","57207936391; 57218280974; 59155402100","Utilizing large language models for EFL essay grading: An examination of reliability and validity in rubric-based assessments","2025","British Journal of Educational Technology","56","1","","150","166","0","30","10.1111/bjet.13494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195119605&doi=10.1111%2Fbjet.13494&partnerID=40&md5=c3aee8ad73c65337e260a2730d7cc0f3","This study investigates the validity and reliability of generative large language models (LLMs), specifically ChatGPT and Google's Bard, in grading student essays in higher education based on an analytical grading rubric. A total of 15 experienced English as a foreign language (EFL) instructors and two LLMs were asked to evaluate three student essays of varying quality. The grading scale comprised five domains: grammar, content, organization, style & expression and mechanics. The results revealed that fine-tuned ChatGPT model demonstrated a very high level of reliability with an intraclass correlation (ICC) score of 0.972, Default ChatGPT model exhibited an ICC score of 0.947 and Bard showed a substantial level of reliability with an ICC score of 0.919. Additionally, a significant overlap was observed in certain domains when comparing the grades assigned by LLMs and human raters. In conclusion, the findings suggest that while LLMs demonstrated a notable consistency and potential for grading competency, further fine-tuning and adjustment are needed for a more nuanced understanding of non-objective essay criteria. The study not only offers insights into the potential use of LLMs in grading student essays but also highlights the need for continued development and research. Practitioner notes What is already known about this topic Large language models (LLMs), such as OpenAI's ChatGPT and Google's Bard, are known for their ability to generate text that mimics human-like conversation and writing. LLMs can perform various tasks, including essay grading. Intraclass correlation (ICC) is a statistical measure used to assess the reliability of ratings given by different raters (in this case, EFL instructors and LLMs). What this paper adds The study makes a unique contribution by directly comparing the grading performance of expert EFL instructors with two LLMs—ChatGPT and Bard—using an analytical grading scale. It provides robust empirical evidence showing high reliability of LLMs in grading essays, supported by high ICC scores. It specifically highlights that the overall efficacy of LLMs extends to certain domains of essay grading. Implications for practice and/or policy The findings open up potential new avenues for utilizing LLMs in academic settings, particularly for grading student essays, thereby possibly alleviating workload of educators. The paper's insistence on the need for further fine-tuning of LLMs underlines the continual interplay between technological advancement and its practical applications. The results lay down a footprint for future research in advancing the use of AI in essay grading. © 2025 Elsevier B.V., All rights reserved.","AI-based grading; automated essay scoring; generative AI; large language models; reliability; rubric-based grading; validity","Computational linguistics; Education computing; Reliability; Students; AI-based grading; Automated essay scoring; Generative AI; Google+; Intraclass correlations; Language model; Large language model; Rubric-based grading; Student essays; Validity; Grading","","John Wiley and Sons Inc","00071013; 14678535","","BJETD","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85195119605"
"Luo, F.; Zhang, W.; Yu, F.; Wang, J.; He, Y.-P.","Luo, Feng (59154475700); Zhang, Wannian (57194700121); Yu, Fang (57189901233); Wang, Jinlong (57192195082); He, Yupeng (56512658500)","59154475700; 57194700121; 57189901233; 57192195082; 56512658500","Studies on the properties and molecular dynamics simulations of nonionic surfactants based on succinic acid derivatives","2025","Journal of Surfactants and Detergents","28","1","","77","84","0","0","10.1002/jsde.12778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195103379&doi=10.1002%2Fjsde.12778&partnerID=40&md5=362f34f309462413f7726dd7c7d7eca0","Nonionic surfactants have proven useful in various applications such as wastewater treatment, enhanced oil recovery, dyeing, and cosmetics. Novel nonionic surfactants such as PEMP, BEMP, HEMP and BEEP were synthesized based on succinic acid derivatives and using L-isoleucine as the linking group and four polyether alcohols as the hydrophilic group. First, the structures of the four nonionic surfactants were studied using Fourier transform infrared (FTIR) spectroscopy and nuclear magnetic resonance (NMR) spectra. Then the critical micelle concentration (CMC) and surface tension at CMC (γCMC) of the four nonionic surfactants in aqueous solution were tested. γ-lg c curves determined the relationships of their surface properties as BEEP > PEMP > BEMP > HEMP. In order to expand the range of applications for nonionic surfactants, we evaluated the salt-resistant properties of four such surfactants. Our findings demonstrated that this class of surfactants indeed has superior salt-resistant properties. Molecular dynamics (MD) simulations were used to study how surfactant molecules aggregate in the interfacial film. The study investigated the trend of solvent accessible surface area (SASA) over time. Results showed that the surfactant molecules interacted well with solvent molecules in the equilibrium state. This study investigates the performance differences among four types of surfactants using the electrostatic potential (ESP) distribution of their molecules. The study employed both experimental and computational simulations to provide a more comprehensive understanding of surfactant properties. The results offer insights into the theoretical research and application extension of this class of surfactants. © 2025 Elsevier B.V., All rights reserved.","gemini surfactants; non-ionic surfactants; surface activity","Amino acids; Critical micelle concentration; Enhanced recovery; Fourier transform infrared spectroscopy; Micelles; Molecular dynamics; Molecules; Nuclear magnetic resonance; Nuclear magnetic resonance spectroscopy; Wastewater treatment; Acid derivative; Critical miceller concentrations; Dynamics simulation; Enhanced-oil recoveries; Gemini surfactant; Non-ionic surfactants; Property; Succinic acids; Surface activities; Surfactant molecules; Nonionic surfactants","","John Wiley and Sons Inc","15589293; 10973958","","JSDEF","","Article","Final","","Scopus","2-s2.0-85195103379"
"Pérez-Paredes, P.; Curry, N.; Aguado-Jiménez, P.","Pérez-Paredes, Pascual Francisco (26038713600); Curry, Niall (57218699582); Aguado-Jiménez, Pilar (54966724700)","26038713600; 57218699582; 54966724700","Integrating critical corpus and AI literacies in applied linguistics: a mixed-methods study","2025","Computer Assisted Language Learning","","","","","","0","0","10.1080/09588221.2025.2569351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018763446&doi=10.1080%2F09588221.2025.2569351&partnerID=40&md5=3eb23099ada28a2c00ef9fc4f8aaf28d","This study examines the integration of corpus literacy and critical AI literacy in language education. As part of a sequential mixed-methods design, undergraduate learners from a southern European university (n = 37) participated in structured workshops. These workshops focused on the use of the corpus analysis software, Sketch Engine and the Generative AI tool, ChatGPT for vocabulary and grammar learning. Quantitative and qualitative data from pre-workshop surveys, hands-on workshop activities, and a post-workshop focus group reveal that while learners initially lacked familiarity with corpus tools, they came to recognise their value in developing corpus-mediated linguistic awareness. Conversely, ChatGPT was widely used by the learners but elicited mixed evaluations regarding reliability. The findings suggest that corpus literacy fosters critical engagement with language data, while generative AI tools present challenges related to over-reliance and a lack of truly personalised learning. Consequently, the study argues that developing corpus literacies can act as a means of developing critical AI literacies, which can enhance language learning for learners using AI. Specifically, these findings underscore the value that corpus approaches bring to language learning and the need for explicit training in AI tools used in autonomous language learning. Future research should explore scalable pedagogical models for this integration. © 2025 Elsevier B.V., All rights reserved.","ChatGPT; corpus data; Corpus literacy; critical AI literacy; language education","","","Routledge","17443210; 09588221","","CALLE","","Article","aip","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105018763446"
"Kartal, G.; Kopuz, E.","Kartal, Galip (57195155072); Kopuz, Ecem (59984377500)","57195155072; 59984377500","Enhancing the potential of data-driven learning: overcoming the gatekeeping of concordancing through ChatGPT","2025","Computer Assisted Language Learning","","","","","","0","0","10.1080/09588221.2025.2569347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018753502&doi=10.1080%2F09588221.2025.2569347&partnerID=40&md5=def801f853d17094cc5f87780d82b5ac","The widespread use of Generative AI (GenAI) tools has expanded the possibilities for a blended methodology that combines data-driven learning (DDL) and artificial intelligence (AI). Among these tools, ChatGPT stands out due to its accessibility, user-friendly interface, and adaptability. These features make it suitable for educational contexts. ChatGPT may be used to navigate the complexities of concordancing, a traditional gatekeeping aspect of DDL. An integration of these has the potential to improve their complementary strengths while offsetting individual limitations. Using a case study approach, this design-based research investigated how 12 Turkish EFL student teachers utilized ChatGPT-assisted DDL (ChatDDL) pedagogy. Data sources included corpus-based lesson materials, weekly reflection papers, lesson observations, and semi-structured interviews. The study explored the pedagogical affordances of the adopted approach within the technological pedagogical content knowledge (TPACK) framework. The triangulated data were subjected to a multi-tiered collaborative content analysis. The findings suggest that ChatDDL simplifies concordance-based tasks and encourages deeper engagement with language data through active learning. ChatDDL bridges the strengths of DDL’s empirical rigor and ChatGPT’s adaptability. The study emphasizes ChatDDL’s potential to democratize corpus tools in teacher education, advocating for structured scaffolding to balance GenAI efficiency with corpus authenticity. This study, therefore, challenges the assumption that GenAI undermines corpus literacy. Practical implications include replicable strategies for integrating ChatGPT into language pedagogy. © 2025 Elsevier B.V., All rights reserved.","AI-enhanced DDL; Artificial intelligence; ChatDDL; ChatGPT; data-driven learning (DDL)","","","Routledge","17443210; 09588221","","CALLE","","Article","aip","","Scopus","2-s2.0-105018753502"
"Liu, G.L.; Zhao, X.","Liu, Guangxiang Leon (57914492800); Zhao, Xian (58090083200)","57914492800; 58090083200","The Predictive Effects of Sociobiographical Variables, English Learning Confidence, and Digital Competence on AI-Mediated Informal Digital Learning of English (AI-IDLE)","2025","International Journal of Applied Linguistics","","","","","","0","0","10.1111/ijal.70010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018502575&doi=10.1111%2Fijal.70010&partnerID=40&md5=36e2abc1141d9ba6f8e76eaeac7cd197","As powerful artificial intelligence (AI) represented by ChatGPT creates new opportunities for creative and self-directed language learning beyond traditional classrooms, this study examines AI-mediated informal digital learning of English (AI-IDLE) as an emerging area of research. Building upon the proactive language learning theory, we investigated the extent to which students’ participation in AI-IDLE can be predicted by sociobiographical variables, English learning confidence, and digital competence. A refined hierarchical regression modeling approach was adopted to analyze survey data collected from 1,012 Chinese college English-as-a-foreign-language (EFL) learners. Initial correlation analysis and linear regression analysis identified that among the eight sociobiographical variables examined, only ethnicity and number of digital devices met the inclusion criteria for further analysis. Hierarchical regression further revealed that English learning confidence was the strongest predictor of AI-IDLE, while digital competence and number of digital devices also significantly predicted AI-IDLE with medium to large effect sizes. Additionally, although ethnicity emerged as a statistically significant predictor, its practical impact was limited. These findings have important implications for pedagogical practice and highlight the need for future research to identify conditions that enable students to become productive and confident language learners in AI-mediated environments. © 2025 Elsevier B.V., All rights reserved.","AI-mediated informal digital learning of English (AI-IDLE); digital competence; English learning confidence; hierarchical regression; sociobiographical variables","","","John Wiley and Sons Inc","08026106; 14734192","","","","Article","aip","","Scopus","2-s2.0-105018502575"
"Huang, J.; Mizumoto, A.; Y.L.","Huang, Jerry (59154572500); Mizumoto, Atsushi (54976588400)","59154572500; 54976588400; 60135835000","Comparing Peer Feedback and Generative Artificial Intelligence Feedback in Japanese English as a Foreign Language Speaking Context: Impacts on Motivation, Engagement, and Writing Self-Efficacy","2025","International Journal of Applied Linguistics","","","","","","0","0","10.1111/ijal.70020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018489345&doi=10.1111%2Fijal.70020&partnerID=40&md5=9d538d8a03cf63627a09e51267240efb","This study explores the comparative effectiveness of peer feedback and generative AI (GenAI) feedback on Japanese university students learning English as a Foreign Language (EFL), specifically examining their motivation, engagement, and writing self-efficacy during script-writing preparation for speaking tasks. Acknowledging the close relationship between speaking and writing, as well as the essential role of feedback in second language acquisition (SLA), the research contrasts the impact of peer feedback during the first semester with GenAI feedback, particularly through ChatGPT, in the second semester. The primary objective was to assess whether students experienced increased motivation, enhanced writing self-efficacy, and greater engagement after transitioning to GenAI feedback, while also investigating their perceptions of using ChatGPT. A survey was conducted with 147 first- and second-year university students at three intervals throughout the academic year to evaluate these factors. Results revealed a statistically significant rise in students’ ideal L2 self following the introduction of GenAI feedback. Writing self-efficacy improved significantly after peer feedback and remained high after the shift to GenAI feedback. Additionally, students reported notably higher affective and behavioral engagement with GenAI feedback compared to peer feedback, although cognitive engagement did not show significant differences. Qualitative responses highlighted benefits such as immediate error detection and improvement suggestions, alongside concerns regarding over-reliance and the absence of human interaction. The findings indicate that GenAI feedback can effectively enhance motivation and both affective and behavioral engagement in EFL speaking preparation, serving as a complementary tool to traditional feedback methods. This study underscores the pedagogical implications of thoughtfully integrating GenAI tools into EFL instruction, emphasizing the importance of careful prompt design and instructor support while recognizing the limitations of the current study's design. © 2025 Elsevier B.V., All rights reserved.","engagement; feedback; GenAI; motivation; self-efficacy","","","John Wiley and Sons Inc","08026106; 14734192","","","","Article","aip","","Scopus","2-s2.0-105018489345"
